plate	well	status	stock_conc	diluent_vol	final_vol	final_conc
PD5	H9	conc below target	7.48	0	8.0	7.48
PD5	A10	conc below target	6.94	0	8.0	6.94
PD5	B10	conc below target	0.0	0	8.0	0.0
PD5	C10	conc below target	0.0	0	8.0	0.0
PD5	D10	conc below target	0.0	0	8.0	0.0
PD5	E10	OK	20.17	8.1	16.14	10.0
PD5	F10	conc below target	2.46	0	8.0	2.46
PD5	G10	conc below target	0.21	0	8.0	0.21
PD5	H10	conc below target	0.0	0	8.0	0.0
PD5	A11	conc below target	0.0	0	8.0	0.0
PD5	B11	conc below target	0.0	0	8.0	0.0
PD5	C11	conc below target	0.04	0	8.0	0.04
PD5	D11	conc below target	0.0	0	8.0	0.0
PD5	E11	conc below target	2.49	0	8.0	2.49
PD5	F11	conc below target	0.0	0	8.0	0.0
PD5	G11	conc below target	0.7	0	8.0	0.7
PD5	H11	transfer too small	11.43	0	8.0	11.43
PD5	A12	transfer too small	13.63	0	8.0	13.63
PD5	B12	conc below target	0.0	0	8.0	0.0
PD5	C12	conc below target	0.0	0	8.0	0.0
PD5	D12	transfer too small	13.06	0	8.0	13.06
PD5	E12	conc below target	4.98	0	8.0	4.98
PD5	F12	conc below target	0.0	0	8.0	0.0
PD5	G12	conc below target	2.34	0	8.0	2.34
PD5	H12	OK	49.6	31.7	39.68	10.0
PD7	A1	OK	26.56	13.2	21.25	10.0
PD7	B1	OK	58.55	38.8	46.84	10.0
PD7	C1	conc below target	9.77	0	8.0	9.77
PD7	D1	OK	49.99	32.0	39.99	10.0
PD7	E1	OK	18.08	6.5	14.46	10.0
PD7	F1	OK	49.33	31.5	39.46	10.0
PD7	G1	OK	71.28	49.0	57.02	10.0
PD7	H1	OK	20.93	8.7	16.74	10.0
PD7	A2	OK	60.14	40.1	48.11	10.0
PD7	B2	OK	16.26	5.0	13.01	10.0
PD7	C2	conc below target	0.1	0	8.0	0.1
PD7	D2	conc below target	8.14	0	8.0	8.14
PD7	E2	conc below target	6.83	0	8.0	6.83
PD7	F2	transfer too small	15.56	0	8.0	15.56
PD7	G2	conc below target	2.06	0	8.0	2.06
PD7	H2	conc below target	1.93	0	8.0	1.93
PD7	A3	transfer too small	11.33	0	8.0	11.33
PD7	B3	conc below target	8.05	0	8.0	8.05
PD7	C3	OK	16.34	5.1	13.07	10.0
PD7	D3	OK	16.45	5.2	13.16	10.0
PD7	E3	OK	50.78	32.6	40.62	10.0
PD7	F3	OK	27.55	14.0	22.04	10.0
PD7	G3	transfer too small	15.28	0	8.0	15.28
PD7	H3	conc below target	0.17	0	8.0	0.17
PD7	A4	conc below target	3.25	0	8.0	3.25
PD7	B4	conc below target	0.0	0	8.0	0.0
PD7	C4	conc below target	0.23	0	8.0	0.23
PD7	D4	OK	16.74	5.4	13.39	10.0
PD7	E4	conc below target	1.64	0	8.0	1.64
PD7	F4	OK	29.08	15.3	23.26	10.0
PD7	G4	OK	34.58	19.7	27.66	10.0
PD7	H4	conc below target	0.87	0	8.0	0.87
PD7	A5	OK	36.79	21.4	29.43	10.0
PD7	B5	OK	56.56	37.2	45.25	10.0
PD7	C5	conc below target	2.73	0	8.0	2.73
PD7	D5	OK	25.18	12.1	20.14	10.0
PD7	E5	conc below target	9.71	0	8.0	9.71
PD7	F5	conc below target	0.92	0	8.0	0.92
PD7	G5	transfer too small	13.52	0	8.0	13.52
PD7	H5	conc below target	0.66	0	8.0	0.66
PD7	A6	conc below target	8.74	0	8.0	8.74
PD7	B6	transfer too small	15.04	0	8.0	15.04
PD7	C6	conc below target	2.61	0	8.0	2.61
PD7	D6	conc below target	1.12	0	8.0	1.12
PD7	E6	conc below target	9.26	0	8.0	9.26
PD7	F6	OK	40.64	24.5	32.51	10.0
PD7	G6	OK	17.75	6.2	14.2	10.0
PD7	H6	conc below target	7.45	0	8.0	7.45
PD7	A7	OK	33.5	18.8	26.8	10.0
